Is this a RT?;Has it been RT?;is it  a reply?;#ofRT;#ofWords;#ofChars;#ofwhiteSpaces;#ofHastags;#ofAts;#ofLower;#ofUpper;LABEL
NO;NO;YES;0;18;127;17;2;2;86;11;NR
YES;NO;NO;0;16;142;15;3;1;91;18;NR
NO;NO;NO;0;11;94;10;2;2;72;6;NR
NO;NO;NO;0;16;129;15;1;0;75;8;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;19;138;18;2;1;95;10;R
NO;NO;NO;0;11;100;10;1;0;66;9;R
YES;NO;NO;0;18;142;17;4;1;94;13;NR
NO;NO;NO;0;16;90;15;2;1;62;5;R
NO;NO;NO;0;10;115;9;2;0;71;17;NR
YES;NO;NO;0;16;142;15;5;1;81;14;NR
YES;NO;NO;0;20;135;19;5;1;67;29;NR
NO;YES;NO;1;16;127;15;4;0;90;9;NR
NO;NO;NO;0;11;78;10;1;0;55;5;R
YES;NO;NO;0;20;135;19;5;1;67;29;NR
NO;YES;NO;2;18;115;17;5;0;57;24;NR
NO;YES;NO;1;14;131;13;3;0;90;15;NR
NO;NO;NO;0;15;102;14;1;0;78;4;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;17;142;16;4;2;89;9;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;YES;NO;1;15;135;14;4;1;86;9;NR
YES;NO;NO;0;20;142;19;1;2;91;14;R
NO;YES;NO;1;18;132;17;1;1;91;10;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;17;121;16;1;2;77;16;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;11;99;12;2;1;57;19;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;15;125;14;4;0;87;9;R
YES;NO;NO;0;20;142;19;2;1;97;11;NR
YES;NO;NO;0;16;142;15;3;1;91;18;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;17;124;16;1;2;74;20;NR
NO;NO;NO;0;17;136;16;2;0;91;12;R
NO;NO;NO;0;15;133;20;7;0;90;10;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;15;140;15;5;2;93;16;R
NO;NO;NO;0;15;130;14;2;0;91;11;NR
NO;NO;NO;0;20;136;21;5;1;97;5;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;14;128;13;2;2;76;19;NR
YES;NO;NO;0;19;142;18;1;1;107;6;R
NO;NO;NO;0;22;122;21;1;0;87;3;R
NO;NO;NO;0;15;103;14;2;0;59;18;R
YES;NO;NO;0;17;121;16;1;2;77;16;R
YES;NO;NO;0;21;142;20;1;1;102;7;NR
NO;NO;NO;0;12;123;11;2;3;81;20;NR
YES;NO;NO;0;16;142;15;2;2;93;15;NR
NO;NO;NO;0;8;75;7;3;0;45;10;NR
YES;NO;NO;0;21;142;20;1;1;102;7;NR
YES;NO;NO;0;21;142;20;1;1;102;7;NR
YES;NO;NO;0;16;118;15;1;1;70;24;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;22;125;21;1;1;82;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;15;127;14;2;1;96;7;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;15;138;14;2;0;73;30;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;18;142;17;2;2;103;9;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;16;142;15;4;1;91;18;NR
YES;NO;NO;0;18;146;17;1;2;95;14;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;15;139;14;2;0;93;21;NR
NO;NO;NO;0;14;125;13;2;1;83;17;NR
YES;NO;NO;0;17;121;16;1;2;77;16;R
NO;NO;NO;0;19;111;18;1;0;85;7;R
NO;NO;YES;0;11;72;10;1;1;51;8;R
NO;NO;NO;0;22;132;21;1;1;88;6;NR
NO;NO;NO;0;10;81;9;2;0;67;0;R
YES;NO;NO;0;18;136;19;1;2;84;15;R
NO;YES;NO;1;16;121;17;1;1;75;13;R
NO;NO;NO;0;14;139;13;1;1;89;21;R
NO;NO;NO;0;11;129;11;2;1;85;16;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;14;139;13;1;1;89;15;R
YES;NO;NO;0;18;142;17;2;2;103;9;R
NO;NO;NO;0;15;124;14;2;1;93;9;R
NO;NO;YES;0;16;134;15;2;4;98;12;R
NO;NO;NO;0;15;136;14;2;0;94;14;R
NO;NO;NO;0;15;138;14;2;0;86;21;R
NO;NO;NO;0;15;136;14;2;0;96;11;R
NO;NO;NO;0;17;136;16;2;0;91;15;R
YES;NO;NO;0;14;118;13;1;1;66;22;R
NO;NO;NO;0;17;128;17;1;1;86;10;R
YES;NO;NO;0;18;146;17;1;2;95;14;NR
YES;NO;NO;0;20;142;19;2;1;97;11;NR
NO;NO;NO;0;16;136;15;1;1;96;11;NR
YES;NO;NO;0;18;146;17;1;2;95;14;NR
NO;NO;NO;0;11;87;10;2;0;56;9;R
YES;NO;NO;0;18;146;17;1;2;95;14;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;12;114;11;2;0;75;11;NR
YES;NO;NO;0;18;146;17;1;2;95;14;NR
YES;NO;NO;0;18;146;17;1;2;95;14;NR
YES;NO;NO;0;18;146;17;1;2;95;14;NR
NO;NO;NO;0;11;89;11;2;0;50;19;NR
YES;NO;NO;0;14;130;13;4;1;71;24;NR
YES;NO;NO;0;18;146;17;1;2;95;14;NR
YES;NO;NO;0;18;146;17;1;2;95;14;NR
YES;NO;NO;0;17;121;16;1;2;77;16;R
YES;NO;NO;0;15;138;22;1;1;80;17;R
YES;NO;NO;0;18;146;17;1;2;95;14;NR
YES;NO;NO;0;18;146;17;1;2;95;14;NR
YES;NO;NO;0;18;146;17;1;2;95;14;NR
YES;NO;NO;0;18;146;17;1;2;95;14;NR
YES;NO;NO;0;18;146;17;1;2;95;14;NR
NO;NO;NO;0;16;141;15;1;0;96;13;NR
NO;YES;NO;15;16;131;15;1;1;89;12;NR
NO;YES;NO;1;15;138;14;2;2;97;12;NR
NO;NO;YES;0;15;111;14;2;1;84;10;R
NO;NO;YES;0;20;130;19;1;2;90;14;R
NO;NO;NO;0;15;136;14;2;0;92;12;NR
NO;NO;NO;0;17;94;16;1;0;73;4;R
NO;NO;NO;0;18;135;18;3;1;81;17;NR
NO;NO;NO;0;15;130;14;2;0;90;11;R
NO;NO;YES;0;23;125;22;1;2;84;13;R
NO;NO;NO;0;9;82;8;1;0;52;15;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;13;139;15;3;5;85;25;R
NO;NO;NO;0;18;136;17;2;0;87;17;NR
NO;NO;NO;0;17;136;16;2;0;81;21;NR
NO;NO;NO;0;16;136;15;2;0;94;12;NR
NO;NO;NO;0;17;136;16;2;0;93;14;R
NO;NO;NO;0;16;138;15;2;0;77;28;NR
YES;NO;NO;0;18;142;17;2;2;103;9;R
NO;NO;YES;0;19;134;18;4;1;91;14;R
YES;NO;NO;0;18;142;17;2;2;103;9;R
YES;NO;NO;0;18;142;17;2;2;103;9;R
NO;YES;NO;1;13;127;20;1;0;75;15;R
YES;NO;NO;0;18;142;17;2;2;103;9;R
YES;NO;NO;0;18;142;17;2;2;103;9;R
YES;NO;NO;0;17;121;16;1;2;77;16;R
YES;NO;NO;0;18;142;17;2;2;103;9;R
YES;NO;NO;0;21;142;20;1;1;102;7;NR
NO;NO;NO;0;24;121;23;1;0;82;5;R
YES;NO;NO;0;18;142;17;2;2;103;9;R
NO;YES;NO;9;16;134;15;2;1;99;9;R
NO;NO;NO;0;14;99;13;2;0;66;11;NR
NO;NO;NO;0;14;102;13;2;0;70;10;NR
NO;NO;NO;0;15;112;14;2;0;72;16;NR
YES;NO;NO;0;19;142;18;1;1;107;6;R
YES;NO;NO;0;21;142;20;1;1;102;7;NR
YES;NO;NO;0;17;142;17;3;2;71;29;NR
NO;NO;NO;0;9;85;8;2;0;57;9;NR
NO;NO;YES;0;16;118;15;2;4;75;16;R
YES;NO;NO;0;21;142;20;1;1;102;7;NR
YES;NO;NO;0;21;142;20;1;1;102;7;NR
NO;YES;NO;1;15;140;14;5;0;97;15;NR
NO;NO;NO;0;25;139;24;3;0;101;8;R
NO;NO;NO;0;21;136;20;2;0;90;13;NR
NO;NO;NO;0;14;123;13;1;0;82;12;NR
YES;NO;NO;0;19;142;18;3;3;96;15;R
YES;NO;NO;0;19;142;18;3;3;96;15;R
YES;NO;NO;0;17;121;16;1;2;77;16;R
YES;NO;NO;0;17;121;16;1;2;77;16;R
YES;NO;NO;0;17;121;16;1;2;77;16;R
NO;NO;NO;0;19;138;19;2;2;82;21;R
YES;NO;NO;0;17;121;16;1;2;77;16;R
YES;NO;NO;0;17;121;16;1;2;77;16;R
NO;NO;NO;0;15;129;14;1;1;82;16;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;18;131;17;1;0;92;10;R
NO;NO;NO;0;27;140;26;1;0;100;8;R
NO;NO;NO;0;21;135;20;1;1;87;14;R
NO;NO;NO;0;17;138;17;3;0;95;11;R
YES;NO;NO;0;10;93;9;2;2;55;15;NR
YES;NO;NO;0;20;142;19;3;2;86;20;NR
NO;NO;NO;0;19;138;18;3;0;98;7;R
NO;NO;NO;0;18;137;17;2;0;101;8;R
YES;NO;NO;0;15;142;16;2;5;89;22;NR
NO;NO;NO;0;17;136;16;2;0;99;10;R
NO;NO;NO;0;20;136;19;2;0;89;14;R
NO;NO;NO;0;16;136;15;2;0;86;18;R
NO;NO;NO;0;14;136;13;2;0;93;17;R
NO;NO;NO;0;16;138;15;2;0;90;15;R
NO;NO;NO;0;20;135;19;4;0;92;10;R
NO;NO;NO;0;19;137;18;4;0;96;10;NR
NO;YES;NO;10;15;106;14;1;1;72;10;R
YES;NO;NO;0;21;142;20;1;1;102;7;NR
NO;NO;NO;0;14;122;13;2;0;86;8;R
NO;NO;NO;0;15;109;14;4;1;68;13;NR
NO;NO;NO;0;14;100;13;2;0;69;8;R
NO;NO;NO;0;16;117;15;2;0;79;12;R
NO;NO;NO;0;16;139;15;3;0;99;10;R
YES;NO;NO;0;14;127;15;2;1;70;18;R
NO;NO;NO;0;17;129;16;3;0;88;8;R
NO;YES;NO;1;13;135;14;2;4;86;19;NR
NO;NO;NO;0;14;139;13;4;0;98;9;R
YES;YES;NO;1;15;113;14;1;1;74;13;NR
NO;NO;NO;0;13;133;13;3;0;93;10;R
YES;NO;NO;0;20;142;19;2;1;97;11;NR
NO;NO;NO;0;14;123;13;2;0;79;14;NR
NO;NO;NO;0;12;112;11;2;0;68;13;R
NO;NO;NO;0;13;116;12;1;1;77;13;R
NO;NO;NO;0;7;92;6;2;0;56;13;R
NO;NO;NO;0;18;134;17;2;0;96;9;R
NO;NO;NO;0;16;137;15;1;0;93;13;NR
NO;NO;NO;0;13;96;12;1;1;66;9;R
YES;NO;NO;0;20;142;19;2;1;97;11;NR
NO;NO;NO;0;17;138;16;5;0;96;11;NR
YES;NO;NO;0;17;142;16;1;1;90;16;R
NO;NO;NO;0;14;137;13;5;0;78;15;R
NO;NO;NO;0;15;135;14;1;0;90;15;R
NO;YES;NO;1;15;135;14;1;0;90;15;R
NO;NO;NO;0;15;136;14;2;0;86;23;R
NO;NO;NO;0;16;136;15;2;0;97;11;R
NO;NO;NO;0;18;136;17;2;0;84;20;NR
NO;NO;NO;0;14;136;13;2;0;100;11;R
NO;NO;NO;0;17;138;16;2;0;72;31;NR
NO;NO;YES;0;19;137;18;1;2;94;12;R
YES;NO;NO;0;12;102;11;1;2;63;16;NR
NO;NO;NO;0;13;114;12;6;0;75;10;NR
YES;NO;NO;0;20;142;19;2;1;97;11;NR
YES;NO;NO;0;14;101;13;2;2;72;8;R
YES;NO;NO;0;20;142;19;2;1;97;11;NR
NO;NO;NO;0;8;74;7;2;0;50;6;R
YES;NO;NO;0;14;101;13;2;2;72;8;R
NO;YES;NO;2;12;85;11;2;1;62;6;R
NO;NO;NO;0;16;112;15;2;0;72;16;NR
YES;NO;NO;0;12;102;11;1;2;63;16;NR
YES;NO;NO;0;20;142;19;2;1;97;11;NR
YES;NO;NO;0;20;142;19;2;1;97;11;NR
YES;NO;NO;0;20;142;19;2;1;97;11;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;YES;NO;2;10;87;9;1;1;54;14;NR
NO;NO;YES;0;19;137;18;3;1;104;6;R
NO;NO;NO;0;14;100;13;1;0;60;18;R
YES;NO;NO;0;20;142;19;2;1;97;11;NR
YES;NO;NO;0;21;142;20;1;1;102;7;NR
YES;NO;NO;0;13;105;12;3;1;52;18;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;17;118;16;3;1;66;21;NR
YES;NO;NO;0;21;142;20;1;1;102;7;NR
YES;NO;NO;0;20;142;19;2;1;97;11;NR
NO;NO;NO;0;15;124;14;6;0;78;18;NR
NO;NO;NO;0;18;139;17;1;1;101;10;R
NO;NO;NO;0;15;122;14;1;1;89;8;NR
NO;NO;NO;0;17;136;16;2;0;96;10;R
NO;NO;NO;0;18;136;17;2;0;80;24;NR
YES;NO;NO;0;20;142;19;2;1;97;11;NR
YES;NO;NO;0;16;120;15;1;2;69;22;R
YES;NO;NO;0;16;120;15;1;2;69;22;R
NO;YES;NO;2;14;102;13;1;1;60;17;R
YES;NO;NO;0;15;142;14;3;2;81;24;NR
YES;NO;NO;0;21;142;20;1;1;102;7;NR
NO;NO;NO;0;19;141;18;2;0;95;14;NR
YES;NO;NO;0;16;118;15;1;1;70;24;NR
NO;NO;NO;0;14;139;13;3;0;102;15;R
NO;NO;NO;0;8;100;8;4;0;67;13;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;16;140;15;3;1;102;8;R
YES;NO;NO;0;18;142;17;1;2;76;23;R
NO;NO;NO;0;11;136;10;6;0;82;21;NR
NO;YES;NO;1;16;138;15;1;1;75;26;R
YES;NO;NO;0;18;143;17;2;1;105;11;R
NO;YES;NO;1;16;136;15;2;0;99;11;R
NO;NO;NO;0;13;88;13;3;0;49;14;R
NO;NO;NO;0;20;135;19;2;1;83;17;NR
NO;NO;NO;0;13;115;12;2;0;70;17;R
YES;NO;NO;0;20;142;19;2;1;97;11;NR
NO;NO;NO;0;16;111;16;1;1;64;16;R
YES;NO;NO;0;20;142;19;2;1;97;11;NR
YES;NO;NO;0;20;142;19;2;1;97;11;NR
NO;NO;NO;0;21;139;20;2;1;79;20;NR
YES;NO;NO;0;16;118;15;1;1;70;24;NR
YES;NO;NO;0;16;119;16;3;2;64;23;NR
NO;NO;NO;0;9;83;8;1;0;56;10;NR
YES;NO;NO;0;12;114;11;3;1;75;12;NR
YES;NO;NO;0;12;114;11;3;1;75;12;NR
NO;YES;NO;2;10;95;9;3;0;67;5;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;16;118;15;1;1;70;24;NR
YES;NO;NO;0;16;118;15;1;1;70;24;NR
NO;NO;NO;0;3;48;2;1;0;32;6;NR
NO;NO;NO;0;6;35;6;1;0;24;4;R
NO;NO;NO;0;18;136;17;2;0;86;20;NR
NO;NO;NO;0;17;136;16;2;0;91;17;R
NO;NO;NO;0;18;136;17;2;0;89;17;NR
NO;NO;NO;0;17;136;16;2;0;96;11;R
YES;NO;NO;0;16;118;15;1;1;70;24;NR
YES;NO;NO;0;16;118;15;1;1;70;24;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;YES;NO;7;14;108;13;1;0;70;18;NR
NO;NO;NO;0;9;97;8;2;0;55;16;NR
NO;NO;NO;0;11;108;10;2;0;73;6;NR
NO;NO;NO;0;14;98;13;1;0;63;7;R
NO;NO;NO;0;20;131;19;1;0;96;5;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;10;101;9;4;0;67;13;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;12;118;12;3;0;76;16;R
NO;NO;NO;0;15;113;16;3;0;73;10;R
YES;NO;NO;0;14;142;13;1;6;84;26;NR
NO;NO;NO;0;16;117;16;3;0;75;9;R
NO;NO;NO;0;15;107;16;3;0;67;11;R
NO;NO;NO;0;13;97;14;3;0;65;5;R
NO;NO;NO;0;16;112;17;3;0;63;15;R
NO;NO;NO;0;12;101;13;3;0;59;10;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;23;140;22;1;1;103;8;R
YES;NO;NO;0;23;140;22;1;1;103;8;R
YES;NO;NO;0;23;140;22;1;1;103;8;R
YES;NO;NO;0;11;93;10;1;1;57;12;NR
NO;NO;NO;0;15;140;14;3;0;95;10;NR
