Is this a RT?;Has it been RT?;is it  a reply?;#ofRT;#ofWords;#ofChars;#ofwhiteSpaces;#ofHastags;#ofAts;#ofLower;#ofUpper;LABEL
NO;NO;NO;0;22;140;22;1;0;95;14;NR
NO;YES;NO;3;8;71;7;1;0;45;10;NR
NO;NO;NO;0;18;133;17;4;0;93;10;R
YES;NO;NO;0;19;142;18;1;1;95;14;R
YES;NO;NO;0;16;137;15;3;2;84;23;NR
YES;NO;NO;0;16;137;15;3;2;84;23;NR
YES;NO;NO;0;20;142;19;1;1;103;12;R
YES;NO;NO;0;17;124;17;1;1;82;11;R
NO;NO;NO;0;15;88;14;1;0;62;7;R
YES;NO;NO;0;12;142;11;2;1;95;15;NR
YES;NO;NO;0;19;142;18;1;1;89;18;NR
NO;NO;NO;0;16;116;15;1;2;66;23;R
NO;NO;NO;0;16;139;16;3;0;97;5;NR
NO;YES;NO;1;19;138;18;1;1;81;17;NR
NO;NO;NO;0;15;105;14;2;0;65;17;NR
YES;NO;NO;0;13;105;12;3;1;52;18;NR
YES;NO;NO;0;14;126;14;1;1;72;17;NR
NO;YES;NO;1;18;136;17;2;0;85;20;NR
YES;NO;NO;0;13;122;12;2;1;68;18;NR
YES;NO;NO;0;12;117;13;1;2;79;14;NR
YES;NO;NO;0;16;126;15;1;1;68;25;NR
YES;NO;NO;0;13;122;12;2;1;68;18;NR
YES;NO;NO;0;13;146;12;1;1;83;17;R
YES;NO;NO;0;6;67;5;1;1;41;11;NR
YES;NO;NO;0;20;119;19;2;1;83;13;R
YES;NO;NO;0;17;142;16;1;2;89;15;NR
NO;NO;NO;0;16;138;16;2;4;89;17;NR
NO;NO;NO;0;14;135;13;2;0;93;15;NR
NO;NO;NO;0;20;140;19;2;0;92;19;NR
YES;NO;NO;0;6;67;5;1;1;41;11;NR
NO;NO;NO;0;16;136;15;2;0;95;13;NR
YES;NO;NO;0;11;132;10;5;1;76;24;R
YES;NO;NO;0;17;126;16;2;1;90;16;R
YES;NO;NO;0;20;142;19;1;1;103;12;R
NO;YES;NO;2;19;135;18;2;0;104;8;R
NO;NO;NO;0;23;136;23;2;2;95;13;R
NO;NO;NO;0;12;71;12;2;2;44;10;R
YES;NO;NO;0;6;67;5;1;1;41;11;NR
YES;NO;NO;0;17;142;16;2;1;92;19;R
YES;NO;NO;0;20;119;19;2;1;83;13;R
NO;NO;NO;0;20;131;20;3;2;93;11;R
NO;YES;NO;3;4;48;3;1;0;29;8;NR
YES;NO;NO;0;11;132;10;5;1;76;24;R
NO;NO;NO;0;20;122;20;2;2;87;10;R
NO;NO;NO;0;13;87;13;2;0;58;12;R
YES;NO;NO;0;17;113;17;2;1;79;13;R
YES;NO;NO;0;17;126;16;2;1;89;14;R
YES;NO;NO;0;17;113;17;2;1;79;13;R
YES;NO;NO;0;11;132;10;5;1;76;24;R
YES;NO;NO;0;18;122;18;2;1;85;13;R
YES;NO;NO;0;20;119;19;2;1;83;13;R
YES;NO;NO;0;19;136;18;2;1;97;14;R
YES;NO;NO;0;18;142;17;2;1;102;14;R
NO;YES;NO;3;9;120;8;5;0;70;22;R
NO;YES;NO;1;17;117;16;2;0;89;7;R
NO;YES;NO;2;15;94;15;2;0;71;6;R
NO;YES;NO;1;15;107;14;2;0;81;7;R
YES;NO;NO;0;20;119;19;2;1;83;13;R
NO;NO;NO;0;10;66;9;2;0;43;7;R
NO;YES;NO;1;16;103;16;2;0;77;6;R
YES;NO;NO;0;20;142;19;2;1;99;15;R
NO;YES;NO;1;16;122;15;2;0;96;7;R
NO;YES;NO;4;18;100;17;2;0;75;6;R
NO;NO;NO;0;15;139;14;3;2;102;8;NR
YES;NO;NO;0;20;142;19;2;2;92;21;R
NO;NO;NO;0;14;136;13;2;0;80;29;R
NO;NO;NO;0;6;54;5;1;1;40;7;R
YES;NO;NO;0;22;126;21;2;1;84;15;R
NO;YES;NO;1;18;127;17;2;1;91;14;R
YES;NO;NO;0;17;142;16;1;2;89;15;NR
NO;YES;NO;1;20;107;19;2;0;76;8;R
YES;NO;NO;0;15;142;14;3;1;89;14;NR
YES;NO;NO;0;13;146;12;1;1;83;17;R
YES;NO;NO;0;15;136;14;3;1;81;19;R
YES;NO;NO;0;13;122;12;2;1;68;18;NR
YES;NO;NO;0;10;93;9;2;2;55;15;NR
NO;NO;NO;0;12;85;11;2;0;62;9;R
NO;NO;NO;0;9;58;8;2;0;42;6;R
NO;NO;NO;0;19;140;18;3;0;97;12;R
NO;NO;YES;0;17;130;16;2;3;95;10;R
YES;NO;NO;0;16;142;15;1;2;101;9;R
NO;NO;NO;0;16;107;16;3;1;81;6;R
YES;NO;NO;0;16;126;15;1;1;68;25;NR
NO;YES;NO;1;10;100;11;1;1;68;12;NR
YES;NO;NO;0;20;142;21;2;1;99;9;R
NO;NO;NO;0;17;134;16;2;1;97;12;NR
NO;NO;YES;0;15;98;14;3;0;72;6;R
YES;NO;NO;0;17;142;16;1;2;89;15;NR
NO;NO;YES;0;16;130;15;2;0;80;16;NR
NO;NO;NO;0;14;114;13;2;1;69;21;R
YES;NO;NO;0;16;142;15;1;2;101;9;R
NO;NO;NO;0;22;136;21;2;0;76;25;R
NO;YES;NO;1;18;131;19;2;0;90;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;16;142;15;1;2;101;9;R
NO;YES;NO;3;14;135;13;1;1;91;12;R
NO;NO;NO;0;14;126;14;4;0;91;8;NR
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;23;142;22;1;1;103;8;R
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;16;126;15;1;1;68;25;NR
NO;NO;NO;0;14;111;13;1;1;80;7;R
NO;NO;NO;0;12;113;11;2;1;83;9;R
NO;NO;NO;0;17;122;16;2;2;65;21;NR
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;17;142;16;1;2;89;15;NR
NO;NO;YES;0;15;110;14;2;1;59;19;NR
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;14;100;14;2;0;79;3;R
YES;NO;NO;0;17;142;16;1;2;89;15;NR
NO;NO;NO;0;20;136;19;2;0;82;22;R
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;19;142;18;1;1;107;6;R
NO;NO;NO;0;15;134;15;5;1;72;30;R
YES;NO;NO;0;12;86;11;1;1;57;8;NR
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;19;142;18;1;1;107;6;R
YES;NO;NO;0;17;142;16;1;2;89;15;NR
NO;NO;NO;0;12;123;11;2;3;81;20;NR
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;20;142;20;5;1;86;18;R
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;17;142;16;1;2;89;15;NR
YES;NO;NO;0;17;142;16;1;2;89;15;NR
NO;YES;NO;36;15;135;14;1;1;89;12;NR
YES;NO;NO;0;16;126;15;1;1;68;25;NR
NO;NO;NO;0;18;136;17;2;0;73;22;NR
NO;NO;NO;0;16;140;15;1;1;86;18;R
NO;NO;NO;0;15;133;17;3;1;91;12;R
NO;NO;NO;0;17;113;16;2;0;69;16;NR
YES;NO;NO;0;16;127;15;1;1;70;21;NR
YES;NO;NO;0;16;127;15;1;1;70;21;NR
YES;NO;NO;0;20;142;19;3;3;98;11;R
YES;NO;NO;0;16;127;15;1;1;70;21;NR
YES;NO;NO;0;16;127;15;1;1;70;21;NR
YES;NO;NO;0;19;142;18;1;1;107;6;R
NO;NO;NO;0;16;132;15;5;0;66;29;R
YES;NO;NO;0;25;142;25;2;1;97;10;R
YES;NO;NO;0;25;142;25;2;1;97;10;R
NO;NO;NO;0;12;134;11;2;4;91;20;R
YES;NO;NO;0;21;131;20;1;1;99;8;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;19;140;21;4;0;102;7;R
YES;NO;NO;0;13;152;13;5;2;81;18;R
NO;NO;NO;0;10;93;9;1;0;59;9;R
YES;NO;NO;0;16;142;15;8;2;88;22;R
YES;NO;NO;0;15;113;14;3;1;73;13;R
NO;NO;NO;0;15;112;14;5;0;66;19;R
NO;NO;NO;0;8;77;7;2;0;55;5;NR
YES;NO;NO;0;13;152;13;5;2;81;18;R
NO;YES;NO;4;13;134;12;2;0;80;12;NR
YES;NO;NO;0;13;152;13;5;2;81;18;R
NO;NO;YES;0;12;85;11;2;1;55;5;R
YES;NO;NO;0;15;136;14;1;1;90;15;NR
YES;NO;NO;0;13;152;13;5;2;81;18;R
YES;NO;NO;0;13;152;13;5;2;81;18;R
NO;NO;NO;0;12;112;11;2;0;68;17;R
NO;NO;NO;0;20;139;20;3;5;101;6;R
NO;YES;NO;5;11;149;11;5;1;83;20;R
NO;NO;NO;0;13;125;12;3;0;91;10;R
NO;NO;NO;0;18;136;17;2;0;90;16;NR
NO;NO;NO;0;17;138;16;4;4;100;11;R
NO;NO;NO;0;15;127;14;3;4;100;6;R
NO;NO;NO;0;18;137;17;2;0;100;10;NR
YES;NO;NO;0;17;142;16;1;1;81;20;R
NO;NO;NO;0;8;87;7;1;0;56;6;R
YES;NO;NO;0;16;147;15;3;2;74;28;NR
NO;YES;NO;1;17;138;16;1;0;94;11;R
NO;NO;NO;0;17;138;16;1;0;94;11;R
NO;NO;NO;0;12;126;11;2;4;84;19;R
YES;NO;NO;0;13;146;12;1;1;83;17;R
NO;NO;NO;0;14;136;13;2;0;90;20;NR
NO;NO;NO;0;18;136;17;1;0;93;10;NR
NO;NO;YES;0;25;139;24;2;1;96;9;R
NO;NO;NO;0;16;128;15;2;1;93;11;NR
NO;NO;YES;0;9;78;10;1;2;60;5;NR
NO;NO;NO;0;11;127;10;3;0;76;19;R
NO;NO;NO;0;13;110;12;1;1;77;11;NR
YES;NO;NO;0;11;93;14;1;1;56;13;R
NO;NO;NO;0;6;79;5;2;0;52;7;NR
YES;NO;NO;0;14;119;14;1;1;78;17;NR
NO;NO;NO;0;11;110;10;2;0;64;16;NR
YES;NO;NO;0;22;142;21;2;2;100;11;R
YES;NO;NO;0;22;142;21;2;2;100;11;R
YES;NO;NO;0;17;129;16;1;2;88;13;R
YES;NO;NO;0;22;142;21;2;2;100;11;R
YES;NO;NO;0;22;142;21;2;2;100;11;R
YES;NO;NO;0;17;129;16;1;2;88;13;R
YES;NO;NO;0;17;140;16;3;1;93;16;NR
YES;NO;NO;0;22;142;21;2;2;100;11;R
NO;NO;NO;0;15;125;14;2;0;92;6;NR
YES;NO;NO;0;22;142;21;2;2;100;11;R
NO;NO;NO;0;19;138;18;4;0;92;10;R
NO;YES;NO;11;9;74;12;1;0;45;9;R
NO;NO;NO;0;11;92;11;5;0;57;14;R
NO;NO;NO;0;11;92;10;3;0;58;8;NR
NO;NO;NO;0;14;103;13;4;0;60;15;NR
NO;NO;NO;0;8;93;8;2;0;55;9;R
NO;NO;NO;0;8;93;8;2;0;54;8;R
NO;NO;NO;0;8;93;8;2;0;54;9;R
YES;NO;NO;0;17;142;16;1;1;81;20;R
YES;NO;NO;0;22;142;21;2;2;100;11;R
YES;NO;NO;0;12;118;11;4;1;76;12;NR
YES;NO;NO;0;15;119;14;3;3;59;30;NR
YES;NO;NO;0;16;142;15;8;2;88;22;R
YES;NO;NO;0;22;142;21;2;2;100;11;R
NO;NO;NO;0;15;136;14;2;0;91;17;NR
YES;NO;NO;0;17;129;16;1;2;88;13;R
YES;NO;NO;0;22;142;21;2;2;100;11;R
YES;NO;NO;0;22;142;21;2;2;100;11;R
YES;NO;NO;0;22;142;21;2;2;100;11;R
YES;NO;NO;0;22;142;21;2;2;100;11;R
YES;NO;NO;0;22;142;21;2;2;100;11;R
YES;NO;NO;0;22;142;21;2;2;100;11;R
YES;NO;NO;0;22;142;21;2;2;100;11;R
YES;NO;NO;0;22;142;21;2;2;100;11;R
YES;NO;NO;0;17;129;16;1;2;88;13;R
YES;NO;NO;0;22;142;21;2;2;100;11;R
NO;YES;NO;4;15;116;14;1;1;81;11;R
YES;NO;NO;0;14;130;13;1;2;85;14;NR
NO;NO;NO;0;9;84;8;2;0;56;9;R
NO;NO;NO;0;12;93;11;1;0;66;5;R
YES;NO;NO;0;22;142;21;2;2;100;11;R
NO;YES;NO;2;10;97;9;4;0;61;10;NR
YES;NO;NO;0;14;119;14;1;1;78;17;NR
YES;NO;NO;0;22;142;21;2;2;100;11;R
YES;NO;NO;0;16;142;15;8;2;88;22;R
YES;NO;NO;0;15;136;14;3;1;81;19;NR
NO;NO;NO;0;12;111;11;2;0;69;11;NR
YES;NO;NO;0;22;142;21;2;2;100;11;R
YES;NO;NO;0;22;142;21;2;2;100;11;R
YES;NO;NO;0;16;142;15;8;2;88;22;R
NO;YES;NO;22;20;140;19;2;1;99;12;R
YES;NO;NO;0;21;142;20;3;1;106;8;R
NO;NO;NO;0;7;63;7;1;0;41;7;NR
NO;NO;NO;0;17;139;17;2;0;99;11;NR
NO;NO;NO;0;9;83;8;1;0;47;10;R
NO;NO;NO;0;10;86;9;2;0;54;9;R
YES;NO;NO;0;14;128;14;3;1;70;27;R
YES;NO;NO;0;16;142;15;8;2;88;22;R
YES;NO;NO;0;11;96;10;1;1;65;10;NR
NO;YES;NO;1;12;109;12;3;0;60;22;R
YES;NO;NO;0;16;142;15;8;2;88;22;R
NO;YES;NO;6;14;139;13;8;1;90;20;R
NO;NO;NO;0;14;131;14;1;2;80;19;NR
YES;NO;NO;0;17;136;17;3;4;69;32;NR
NO;YES;NO;1;15;116;15;3;3;59;28;NR
NO;NO;NO;0;14;116;13;7;0;71;18;R
NO;NO;NO;0;12;81;11;1;0;51;6;R
NO;NO;NO;0;15;132;14;3;0;92;10;NR
NO;NO;NO;0;7;67;6;1;0;40;9;NR
YES;NO;NO;0;15;119;14;3;3;59;30;NR
NO;NO;NO;0;18;140;18;3;1;97;14;NR
NO;NO;NO;0;11;87;10;2;0;57;7;R
YES;NO;NO;0;18;142;17;1;2;87;21;NR
NO;NO;YES;0;12;110;11;2;4;72;17;R
YES;NO;NO;0;25;142;24;1;1;99;6;NR
YES;NO;NO;0;25;142;24;1;1;99;6;NR
NO;NO;NO;0;13;90;12;2;1;54;8;R
NO;NO;NO;0;20;136;19;1;0;88;11;NR
NO;NO;NO;0;17;136;16;1;0;92;10;NR
YES;NO;NO;0;17;142;16;1;1;81;20;R
YES;NO;NO;0;17;142;16;1;1;81;20;R
NO;NO;NO;0;15;97;14;2;0;67;6;R
NO;NO;NO;0;17;143;18;3;0;98;8;NR
NO;YES;NO;5;15;128;14;1;0;77;18;R
NO;NO;NO;0;5;55;4;1;0;34;10;NR
YES;NO;NO;0;23;142;22;0;1;107;6;R
NO;NO;NO;0;12;102;11;1;0;73;6;R
NO;NO;NO;0;9;82;8;1;0;43;15;R
NO;NO;NO;0;12;109;11;3;0;67;14;R
YES;NO;NO;0;13;146;12;1;1;83;17;R
NO;NO;NO;0;10;90;9;2;0;53;11;R
NO;NO;NO;0;11;93;10;1;0;54;15;R
NO;NO;NO;0;8;64;7;2;1;33;14;NR
NO;NO;NO;0;14;113;13;6;0;73;12;R
NO;NO;NO;0;15;136;14;2;0;81;22;NR
NO;NO;NO;0;13;138;13;6;0;91;13;R
NO;NO;NO;0;11;91;10;5;0;54;13;R
NO;NO;NO;0;14;116;13;2;0;76;11;NR
NO;NO;NO;0;15;99;14;1;0;67;8;R
YES;NO;NO;0;14;119;14;1;1;78;17;NR
YES;NO;NO;0;17;142;16;2;1;90;10;R
NO;NO;NO;0;14;106;13;1;0;77;8;R
NO;NO;NO;0;16;137;16;1;0;102;10;NR
YES;NO;NO;0;14;119;14;1;1;78;17;NR
YES;NO;NO;0;18;142;17;1;2;87;21;NR
NO;YES;NO;6;12;103;12;1;0;71;12;NR
NO;NO;NO;0;16;136;15;2;0;95;15;NR
NO;NO;NO;0;17;136;16;2;0;93;16;NR
NO;NO;NO;0;18;136;17;2;0;95;13;R
NO;NO;NO;0;17;136;16;1;0;94;10;NR
YES;NO;NO;0;18;137;21;3;1;87;14;NR
NO;NO;NO;0;20;140;21;2;3;96;8;R
NO;NO;YES;0;19;139;20;1;2;87;19;R
NO;NO;NO;0;16;122;15;1;1;86;12;R
NO;NO;NO;0;17;140;17;4;2;90;18;R
NO;YES;NO;1;16;122;19;3;0;81;9;NR
NO;NO;NO;0;14;140;14;2;0;91;11;R
NO;NO;NO;0;14;136;13;2;0;101;11;NR
YES;NO;NO;0;15;119;14;3;3;59;30;NR
YES;NO;NO;0;14;118;13;2;1;81;13;NR
NO;NO;NO;0;17;139;16;12;1;79;26;NR
NO;NO;NO;0;14;115;13;2;0;77;12;NR
NO;NO;NO;0;15;131;16;2;0;79;22;R
